EmployeeId,FirstName,LastName,PositionId,PositionTitle,DepartmentId,BirthDate,HireDate,Salary,Gender,ManagementRole,DepartmentDescription,PayType
1,Sheri,Nowmer,1,President,1,19610826 00:00:00,19941201 00:00:00,80000,F,Senior Management,HQ General Management,Monthly
2,Derrick,Whelply,2,VP Country Manager,1,19150703 00:00:00,19941201 00:00:00,40000,M,Senior Management,HQ General Management,Monthly
4,Michael,Spence,2,VP Country Manager,1,19690620 00:00:00,19980101 00:00:00,40000,M,Senior Management,HQ General Management,Monthly
5,Maya,Gutierrez,2,VP Country Manager,1,19510510 00:00:00,19980101 00:00:00,35000,F,Senior Management,HQ General Management,Monthly
6,Roberta,Damstra,3,VP Information Systems,2,19421008 00:00:00,19941201 00:00:00,25000,F,Senior Management,HQ Information Systems,Monthly
7,Rebecca,Kanagaki,4,VP Human Resources,3,19490327 00:00:00,19941201 00:00:00,15000,F,Senior Management,HQ Marketing,Monthly
8,Kim,Brunner,11,Store Manager,11,19220810 00:00:00,19980101 00:00:00,10000,F,Store Management,Store Management,Monthly
9,Brenda,Blumberg,11,Store Manager,11,19790623 00:00:00,19980101 00:00:00,17000,F,Store Management,Store Management,Monthly
10,Darren,Stanz,5,VP Finance,5,19490826 00:00:00,19941201 00:00:00,50000,M,Senior Management,HQ Finance and Accounting,Monthly
11,Jonathan,Murraiin,11,Store Manager,11,19670620 00:00:00,19980101 00:00:00,15000,M,Store Management,Store Management,Monthly
12,Jewel,Creek,11,Store Manager,11,19711018 00:00:00,19980101 00:00:00,8500,F,Store Management,Store Management,Monthly
13,Peggy,Medina,11,Store Manager,11,19751012 00:00:00,19980101 00:00:00,15000,F,Store Management,Store Management,Monthly
14,Bryan,Rutledge,11,Store Manager,11,19120709 00:00:00,19980101 00:00:00,17000,M,Store Management,Store Management,Monthly
15,Walter,Cavestany,11,Store Manager,11,19411105 00:00:00,19980101 00:00:00,12000,M,Store Management,Store Management,Monthly
16,Peggy,Planck,11,Store Manager,11,19190602 00:00:00,19980101 00:00:00,17000,F,Store Management,Store Management,Monthly
17,Brenda,Marshall,11,Store Manager,11,19280320 00:00:00,19980101 00:00:00,10000,F,Store Management,Store Management,Monthly
18,Daniel,Wolter,11,Store Manager,11,19140921 00:00:00,19980101 00:00:00,17000,M,Store Management,Store Management,Monthly
19,Dianne,Collins,11,Store Manager,11,19530720 00:00:00,19980101 00:00:00,10000,F,Store Management,Store Management,Monthly
20,Beverly,Baker,2,VP Country Manager,1,19740416 00:00:00,19941201 00:00:00,30000,F,Senior Management,HQ General Management,Monthly
21,Pedro,Castillo,2,VP Country Manager,1,19181104 00:00:00,19941201 00:00:00,35000,M,Senior Management,HQ General Management,Monthly
22,Laurie,Borges,2,VP Country Manager,1,19471007 00:00:00,19941201 00:00:00,35000,F,Senior Management,HQ General Management,Monthly
23,Shauna,Wyro,11,Store Manager,11,19161024 00:00:00,19941201 00:00:00,15000,F,Store Management,Store Management,Monthly
24,Jacqueline,Wyllie,11,Store Manager,11,19211204 00:00:00,19941201 00:00:00,17000,F,Store Management,Store Management,Monthly
25,Lin,Conley,11,Store Manager,11,19520926 00:00:00,19941201 00:00:00,12000,F,Store Management,Store Management,Monthly
26,Jose,Bernard,11,Store Manager,11,19540825 00:00:00,19941201 00:00:00,15000,M,Store Management,Store Management,Monthly
27,Charles,Macaluso,11,Store Manager,11,19340317 00:00:00,19941201 00:00:00,16000,M,Store Management,Store Management,Monthly
28,Lois,Wood,11,Store Manager,11,19700312 00:00:00,19941201 00:00:00,14000,F,Store Management,Store Management,Monthly
29,Kevin,Armstrong,11,Store Manager,11,19371004 00:00:00,19941201 00:00:00,8500,M,Store Management,Store Management,Monthly
30,Cody,Goldey,11,Store Manager,11,19170708 00:00:00,19941201 00:00:00,15000,M,Store Management,Store Management,Monthly
